Published_Date,List_Name,Rank,Title,Author,Publisher,Weeks_On_List,ISBN13,Amazon_URL
2025-06-01,Hardcover Fiction,1,A Curse Carved in Bone,Danielle L. Jensen,Del Rey,1,9780593599860,https://www.amazon.com/dp/0593599861?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,2,The Emperor of Gladness,Ocean Vuong,Penguin Press,1,9780593831878,https://www.amazon.com/dp/059383187X?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,3,Great Big Beautiful Life,Emily Henry,Berkley,4,9780593441299,https://www.amazon.com/dp/059344129X?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,4,Shield of Sparrows,Devney Perry,Red Tower,2,9781649378514,https://www.amazon.com/dp/1649378513?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,5,The Devils,Joe Abercrombie,Tor,1,9781250880055,https://www.amazon.com/dp/125088005X?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,6,My Friends,Fredrik Backman,Atria,2,9781982112820,https://www.amazon.com/dp/1982112824?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,7,I Hope You Remember,Josie Balka,Simon Element,1,9781668077108,https://www.amazon.com/dp/1668077108?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,8,Fever Beach,Carl Hiaasen,Knopf,1,9780593320945,https://www.amazon.com/dp/0593320948?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,9,Onyx Storm,Rebecca Yarros,Red Tower,17,9781649377159,https://www.amazon.com/dp/1649374186?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,10,The Eye of the Bedlam Bride,Matt Dinniman,Ace,1,9780593956014,https://www.amazon.com/dp/059395601X?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,11,James,Percival Everett,Doubleday,46,9780385550369,https://www.amazon.com/dp/0385550367?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,12,Silver Elite,Dani Francis,Del Rey,2,9780593875469,https://www.amazon.com/dp/059387546X?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,13,The Missing Half,Ashley Flowers with Alex Kiester,Bantam,2,9780593726983,https://www.amazon.com/dp/0593726987?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,14,The Perfect Divorce,Jeneva Rose,Blackstone,5,9798874620936,https://www.amazon.com/dp/B0DGY5F5JX?tag=thenewyorktim-20
2025-06-01,Hardcover Fiction,15,25 Alive,James Patterson and Maxine Paetro,"Little, Brown",3,9780316569774,https://www.amazon.com/dp/0316569771?tag=thenewyorktim-20
2025-06-01,Hardcover Nonfiction,1,Mark Twain,Ron Chernow,Penguin Press,1,9780525561729,https://www.amazon.com/dp/0525561722?tag=thenewyorktim-20
2025-06-01,Hardcover Nonfiction,2,The Anxious Generation,Jonathan Haidt,Penguin Press,60,9780593655030,https://www.amazon.com/dp/0593655036?tag=thenewyorktim-20
2025-06-01,Hardcover Nonfiction,3,Big Dumb Eyes,Nate Bargatze,Grand Central,2,9781538768464,https://www.amazon.com/dp/1538768461?tag=thenewyorktim-20
2025-06-01,Hardcover Nonfiction,4,Lawless,Leah Litman,Atria/One Signal,1,9781668054628,https://www.amazon.com/dp/1668054620?tag=thenewyorktim-20
